1114940	Rāvi River	Ravi River	Ravi,Ravi River,Rāvi,Rāvi River	30.62123	71.82683	H	STM	IN	PK	00				0		133	Asia/Kolkata	2017-06-06
1114942	Punjab Plains	Punjab Plains	Punjab Plains	30	75	T	PLN	IN		00				0		206	Asia/Kolkata	2012-01-16
1114957	Jhelum River	Jhelum River	Jhelum,Jhelum River,River Hydaspes,Veth River	31.16853	72.15066	H	STM	IN	PK	00				0		147	Asia/Kolkata	2017-02-03
1114958	Hindustan	Hindustan	Hindustan,Hindustán	28	76	L	RGN	IN	IN,PK	00				0		344	Asia/Kolkata	2006-06-23
1114965	Basantar River	Basantar River	Basantar,Basantar Nala,Basantar Nāla,Basantar River	32.47452	75.01449	H	STM	IN		00				0		300	Asia/Kolkata	2016-03-09
1163293	Tithwāl	Tithwal		34.39351	73.77416	P	PPL	IN		12				0		1080	Asia/Kolkata	2015-12-05
1163420	Thruti	Thruti		33.52682	74.15939	P	PPL	IN		12				0		1383	Asia/Kolkata	2018-08-07
1163626	Thang	Thang		34.9274	76.79336	P	PPL	IN		12				1622	3890	2726	Asia/Kolkata	2012-09-06
1164949	Siachen Glacier	Siachen Glacier		35.19861	77.20139	H	GLCR	IN		41	003			0		3625	Asia/Kolkata	2019-10-18
1166907	Richhmār Gali	Richhmar Gali		34.35016	73.75535	T	PASS	IN		12				0		2383	Asia/Kolkata	2015-12-05
1167718	Pūnch	Punch	Poonch,Punch,Pūnch,bwnsh,bwntsh,pwnchھ,بونتش,بونش,پونچھ	33.77033	74.09254	P	PPL	IN		12	005			28197		999	Asia/Kolkata	2020-06-10
1169325	Dhoro Puran River	Dhoro Puran River	Dhoro Puran River,Nara River,Nāra River,Puran Dhora,Purān Dhora	24.12187	69.11822	H	STM	IN		05				0		4	Asia/Kolkata	2012-01-17
1171555	Mahmūd Khāneke	Mahmud Khaneke		30.66711	74.21704	P	PPL	IN		23	043			0		184	Asia/Kolkata	2016-02-11
1178984	Ganga Sāgar	Ganga Sagar		21.63933	88.07742	P	PPL	IN		28	343			0		4	Asia/Kolkata	2014-10-14
1179242	Ferozepore Headworks	Ferozepore Headworks	Ferozepore,Ferozepore Headworks	30.99128	74.55154	S	DAM	IN		23				0		185	Asia/Kolkata	2018-12-04
1180957	Chumik	Chumik		32.73241	78.30538	T	HLL	IN		41	003			0		5625	Asia/Kolkata	2019-10-18
1181619	Chalunka	Chalunka	Chalunka,Chalūnka	34.82016	76.94212	P	PPL	IN		12				0		3105	Asia/Kolkata	2018-09-04
1252645	Olavakod Junction	Olavakod Junction	Olavakkot Junction,Olavakod,Olavakod Junction	10.79922	76.63723	S	RSTN	IN		13	593			0		81	Asia/Kolkata	2017-03-04
1252646	Keelakarai	Keelakarai	Kilakarai,Kilakari,Kīlakarai,kai ai la ka lai,kilakara'i,kilakkarai,कीलाकाराई,কীলাকারাই,கீழக்கரை,凯埃拉卡赖	9.23183	78.78545	P	PPL	IN		25	626			30468		14	Asia/Kolkata	2014-10-14
1252647	Kamla Nadi	Kamla Nadi	Kamala River,Kamla,Kamla Nadi,Kamla Nadī,Kamla River	25.554	86.65534	H	STM	IN		00				0		34	Asia/Kolkata	2015-11-08
1252648	Dhaulīganga River	Dhauliganga River	Darmaganga,Darmaganga River,Dhauli River,Dhauliganga River,Dhaulīganga River,Dhouli,Dārmaganga,Dārmaganga River	29.96667	80.61667	H	STM	IN	IN	00				0		1368	Asia/Kolkata	2020-06-10
1252649	Kauriāla Ghāt	Kauriala Ghat	Belraien,Kauriala Ghat,Kauriāla Ghāt	28.38333	81.03333	S	RSTN	IN	IN	36	153			0		140	Asia/Kolkata	2020-06-10
1252650	Baranaī Nadī	Baranai Nadi	Baranai,Baranai Nadi,Baranaī Nadī,Baranāi	20.16667	80.43333	H	STM	IN	IN	00				0		316	Asia/Kolkata	2012-01-17
1252651	Zuvvaladinne	Zuvvaladinne		14.80796	80.07045	P	PPL	IN		02	550			0		7	Asia/Kolkata	2015-09-06
1252652	Zuvāri River	Zuvari River	Juari,Juāri,Rachol,Rio Zuari,Suari River,Zuari River,Zuvari River,Zuvāri River,Zuāri River	15.41521	73.92082	H	STM	IN	IN	00				0		1	Asia/Kolkata	2011-10-21
1252653	Zunheboto	Zunheboto	Zunheboto	25.96667	94.51667	P	PPLA2	IN		20	263			29499		1349	Asia/Kolkata	2016-06-08
1252654	Zunheboto	Zunheboto	ZNH,Zonheboto,Zunheboto,Zunhebotto	26	94.5	A	ADM2	IN	IN	20	263			140757		1807	Asia/Kolkata	2018-05-26
1252655	Zungki River	Zungki River		25.78315	94.75554	H	STM	IN		00				0		488	Asia/Kolkata	2012-10-06
1252656	Zulidok	Zulidok		34.05488	76.32796	P	PPL	IN		41	004			0		3988	Asia/Kolkata	2019-10-18
1252657	Zulhami	Zulhami		25.82455	94.39098	P	PPL	IN		20	266			0		1733	Asia/Kolkata	2014-10-14
1252658	Zūlakallu	Zulakallu		16.44415	79.78743	P	PPL	IN		02	548			0		144	Asia/Kolkata	2015-10-04
1252659	Zuchhip	Zuchhip		23.47709	93.15298	P	PPL	IN		31	284			0		1214	Asia/Kolkata	2014-10-14
1252660	Zozar	Zozar	Zozar,Zuzzar	33.58839	77.00959	P	PPL	IN		41	004			0		3489	Asia/Kolkata	2019-10-18
1252661	Zotlāng	Zotlang		23.82896	92.48431	P	PPL	IN		31	281			0		1134	Asia/Kolkata	2014-10-14
1252662	Zorāwarpura	Zorawarpura		29.7557	73.44915	S	RSTN	IN		24	099			0		166	Asia/Kolkata	2014-10-14
1252663	Zongsa	Zongsa	Zongsa,Zongsar	35.01112	77.35926	P	PPL	IN		41	003			0		3340	Asia/Kolkata	2019-10-18
1252664	Zong	Zong		32.68506	78.86262	P	PPL	IN		41	003			0		4443	Asia/Kolkata	2019-10-18
1252665	Zoji La Pass	Zoji La Pass	Zoji La,Zoji La Pass,Zozila Pass	34.28006	75.46995	T	PASS	IN		12	011			0		3549	Asia/Kolkata	2015-09-06
1252666	Zobawk	Zobawk		23.55763	92.83044	P	PPL	IN		31	283			0		849	Asia/Kolkata	2014-10-14
1252667	Zobawk	Zobawk		22.86241	92.82586	P	PPL	IN		31	286			0		1017	Asia/Kolkata	2014-10-14
1252668	Ziro	Ziro	ZER,Zero,Ziro	27.59497	93.83854	P	PPL	IN		30	255			13893		1579	Asia/Kolkata	2016-12-17
1252669	Zirāpur	Zirapur		24.02217	76.3771	P	PPL	IN		35	442			0		402	Asia/Kolkata	2015-06-07
1252670	Zirad	Zirad		18.75609	72.88851	P	PPL	IN		16	520			0		17	Asia/Kolkata	2014-10-13
1252671	Zingzingbar	Zingzingbar	Zingzingbar	32.79337	77.32372	S	HLT	IN		11	025			0		4131	Asia/Kolkata	2014-10-13
1252672	Zingral	Zingral		34.02643	77.91831	P	PPL	IN		41	003			0		5286	Asia/Kolkata	2019-10-18
1252673	Zindpurā Railroad Station	Zindpura Railroad Station	ZNP,Zindpura,Zindpura Railroad Station,Zindpurā,Zindpurā Railroad Station	28.19291	79.85051	S	RSTN	IN		36	152			0		167	Asia/Kolkata	2020-06-10
1252674	Zhumkiri	Zhumkiri		25.88112	94.86265	P	PPL	IN		20	269			0		1072	Asia/Kolkata	2014-10-14
1252675	Zerpur Pali	Zerpur Pali	Zerpur,Zerpur Pali	28.32426	76.09787	S	RSTN	IN		10	084			0		258	Asia/Kolkata	2014-10-13
1252676	Zemu Glacier	Zemu Glacier	Zemu Glacier	27.74971	88.25662	H	GLCR	IN		00				0		4893	Asia/Kolkata	2012-09-06
1252677	Zemābawk	Zemabawk		23.73916	92.74523	P	PPL	IN		31	283			0		891	Asia/Kolkata	2014-10-14
1252678	Zawngling	Zawngling		22.25106	93.04491	P	PPL	IN		31	288			0		1046	Asia/Kolkata	2014-10-14
1252679	Zawngin	Zawngin		23.90282	93.01808	P	PPL	IN		31	283			0		1200	Asia/Kolkata	2014-10-14
1252680	Zāwār	Zawar	Zawar,Zāwār	24.34908	73.6942	P	PPL	IN		24	130			0		399	Asia/Kolkata	2020-06-10
1252681	Zāwal	Zawal	Jawal,Jāwāl,Zawal,Zāwal	24.99185	72.74858	P	PPL	IN		24	117			0		236	Asia/Kolkata	2015-09-06
1252682	Zāskār River	Zaskar River		34.16519	77.33204	H	STM	IN		00				0		3099	Asia/Kolkata	2012-09-06
1252683	Sa-ssu-K’a-erh Shan	Sa-ssu-K'a-erh Shan	Sa-ssu-K'a-erh Shan,Sa-ssu-K’a-erh Shan,Sa-ssu-k'a-erh Shan,Sa-ssu-k’a-erh Shan,Zanskar,Zanskar Range,Zaskar Mountains,Zaskar Range,Zāskār Mountains,Zāskār Range	33.25	77.66667	T	MTS	IN	CN	00				0		4547	Asia/Kolkata	2020-06-10
1252684	Zāskār	Zaskar		33.58333	76.83333	L	AREA	IN		12				0		5068	Asia/Kolkata	2003-02-06
1252685	Zarani	Zarani	Zadani,Zarani,Zaranim	15.55611	74.23195	P	PPLQ	IN		33	585			0		57	Asia/Kolkata	2015-11-08
1252686	Zankhvāv	Zankhvav	ZKV,Zankhvav,Zankhvāv	21.45	73.31667	S	RSTN	IN		09	492			0		120	Asia/Kolkata	2018-04-22
1252687	Zangla	Zangla	Zangla	33.65922	76.98969	P	PPL	IN		41	004			0		3529	Asia/Kolkata	2019-10-18
1252688	Zangāreddigūdem	Zangareddigudem		17.12288	81.29525	P	PPL	IN		02	546			0		102	Asia/Kolkata	2015-09-06
1252689	Zangālapalle	Zangalapalle	Kandukuru,Kandukūru,ZPL,Zangalapalle,Zangālapalle	14.59074	77.6413	S	RSTN	IN		02	553			0		372	Asia/Kolkata	2018-04-23
1252690	Zamin Nischinta	Zamin Nischinta		25.29982	88.63236	P	PPL	IN		28	331			0		36	Asia/Kolkata	2014-10-14
1252691	Zamānia	Zamania	ZNA,Zamania,Zamania Railroad Station,Zamānia,Zamānia Railroad Station	25.3742	83.54376	S	RSTN	IN		36	195			0		77	Asia/Kolkata	2018-04-22
1252692	Zamānia	Zamania	Zamania,Zaminia,Zamānia	25.41961	83.55786	P	PPL	IN		36	195			32008		72	Asia/Kolkata	2020-06-10
1252693	Zālung Seru	Zalung Seru		34.36573	79.27385	S	HLT	IN		41	003			0		5290	Asia/Kolkata	2019-10-18
1252694	Zaladanki	Zaladanki		14.88431	79.91251	P	PPL	IN		02	550			0		21	Asia/Kolkata	2014-10-10
1252695	Zākhung	Zakhung		27.90276	88.41592	P	PPL	IN		29	241			0		4532	Asia/Kolkata	2014-10-14
1252696	Zainābād	Zainabad		23.28553	71.76712	P	PPL	IN		09	475			0		24	Asia/Kolkata	2014-10-13
1252697	Zainābād	Zainabad		21.3	76.23333	P	PPL	IN		35	467			0		233	Asia/Kolkata	2014-10-14
1252698	Zaidpur	Zaidpur	Zaidpur	26.83093	81.32929	P	PPL	IN		36	176			33397		121	Asia/Kolkata	2015-08-07
1252699	Zahirābād	Zahirabad	Zahirabad,Zahirābād	17.68138	77.60743	P	PPL	IN		40	535			46504		626	Asia/Kolkata	2014-10-10
1252700	Zagok	Zagok		33.76073	78.02518	P	PPL	IN		41	003			0		4170	Asia/Kolkata	2019-10-18
1252701	Zagalnakchan	Zagalnakchan		34.75853	76.94574	P	PPL	IN		41	003			0		3645	Asia/Kolkata	2019-10-18
1252702	Zafarābād	Zafarabad		25.69867	82.73354	P	PPL	IN		36	194			9106		86	Asia/Kolkata	2015-08-07
1252703	Yusūfwadgaon	Yusufwadgaon	Isab Wargaon,Yusufbadgaon,Yusufwadgaon,Yusūfwadgaon	18.63348	76.11275	P	PPL	IN		16	523			0		664	Asia/Kolkata	2020-06-10
1252704	Yurod	Yurod		33.66642	75.7169	P	PPL	IN		12	018			0		2202	Asia/Kolkata	2015-09-06
1252705	Yumtang	Yumtang	Yumtang,Yumthang	27.80278	88.69968	P	PPL	IN		29	241			0		3727	Asia/Kolkata	2014-10-14
1252706	Yume Samdong	Yume Samdong	Mome Samdong,Yume Samdong	27.90987	88.7112	P	PPL	IN		29	241			0		4609	Asia/Kolkata	2014-10-14
1252707	Yü-me Chu	Yu-me Chu		28.41667	93.83333	H	STM	IN		00				0		1276	Asia/Kolkata	1994-01-13
1252708	Yor Khoshpur	Yor Khoshpur		33.59928	75.13802	P	PPL	IN		12	015			0		1707	Asia/Kolkata	2015-09-06
1252709	Yorjing Mountains	Yorjing Mountains	Vorjing,Yorjing Mountains	28.35555	94.40003	T	MTS	IN		30				0		3816	Asia/Kolkata	2012-10-06
1252710	Yonggyap La	Yonggyap La	Chiang-Chia-p'u Shan-K'ou,Chiang-Chia-p’u Shan-K’ou,Yonggyab La,Yonggyap La,Yonggyap Pass,Yongjia La,yong jia la,永加拉	29.21667	95.58333	T	PASS	IN		00				0		3876	Asia/Kolkata	2013-06-04
1252711	Yomtam	Yomtam		27.92356	93.30065	P	PPL	IN		30	256			0		1019	Asia/Kolkata	2014-10-14
1252712	Yomcha	Yomcha		28.12643	94.55219	P	PPL	IN		30	250			0		726	Asia/Kolkata	2014-10-14
1252713	Yol Jig	Yol Jig		12.41667	92.9	H	STM	IN		00				0		1	Asia/Kolkata	1994-01-13
1252714	Yol	Yol	Yol	32.16423	76.19622	P	PPL	IN		11	024			11314		672	Asia/Kolkata	2015-09-06
1252715	Yoba	Yoba		27.97259	93.72746	P	PPL	IN		30	256			0		929	Asia/Kolkata	2014-10-14
1252716	Yiyu	Yiyu	Yiku,Yiyu	28.55981	94.63294	P	PPL	IN		30	250			0		974	Asia/Kolkata	2014-10-14
1252717	Yingku	Yingku		28.44376	94.88342	P	PPL	IN		30	251			0		652	Asia/Kolkata	2014-10-14
1252718	Yimtsung-aenrr	Yimtsung-aenrr		26.10453	94.78851	P	PPL	IN		20	267			0		1238	Asia/Kolkata	2014-10-14
1252719	Yimpang	Yimpang		26.32101	94.18467	P	PPL	IN		03				0		747	Asia/Kolkata	2012-10-06
1252720	Yezami	Yezami		26.05	94.56667	P	PPL	IN		20	263			0		1381	Asia/Kolkata	2014-10-14
1252721	Yeulkhed	Yeulkhed	YAD,Yeulkhed	20.72512	77.07996	S	RSTN	IN		16	501			0		297	Asia/Kolkata	2018-05-09
1252722	Yesvantpur	Yesvantpur		13.02365	77.55342	P	PPLX	IN		19	572			0		920	Asia/Kolkata	2015-10-04
1252723	Yeshwant Sāgar	Yeshwant Sagar		22.81847	75.69553	H	RSV	IN		35				0		520	Asia/Kolkata	2015-09-06
1252724	Kanavehalli	Kanavehalli	Kanavehalli,Kannevihalli,Yeshwantnagar	15.04376	76.49832	P	PPL	IN		19	565			0		605	Asia/Kolkata	2015-12-05
1252725	Yerūr	Yerur		14.17677	80.04152	P	PPL	IN		02	550			0		8	Asia/Kolkata	2015-09-06
1252726	Yerupālem	Yerupalem		16.82211	80.47017	P	PPL	IN		40	541			0		64	Asia/Kolkata	2014-10-10
